    ;WORD                 ;COUNT(WORD)
1   ;case                 ;1,388      
2   ;cable                ;1,000      
3   ;mount                ;979        
4   ;adapter              ;868        
5   ;book                 ;677        
6   ;bag                  ;668        
7   ;camera               ;602        
8   ;background           ;592        
9   ;microphone           ;503        
10  ;dvd                  ;441        
11  ;backpack             ;422        
12  ;filter               ;419        
13  ;lens                 ;396        
14  ;other                ;387        
15  ;stand                ;380        
16  ;cover                ;378        
17  ;software             ;370        
18  ;panel                ;365        
19  ;download             ;328        
20  ;light                ;323        
21  ;plate                ;322        
22  ;monitor              ;311        
23  ;gobo                 ;311        
24  ;bracket              ;301        
25  ;speaker              ;295        
26  ;box                  ;293        
27  ;card                 ;287        
28  ;strap                ;274        
29  ;lamp                 ;273        
30  ;riflescope           ;266        
31  ;module               ;260        
32  ;paper                ;257        
33  ;controller           ;256        
34  ;amplifier            ;254        
35  ;battery              ;242        
36  ;headphone            ;232        
37  ;pedal                ;208        
38  ;screen               ;208        
39  ;binocular            ;205        
40  ;receiver             ;202        
41  ;transmitter          ;197        
42  ;tripod               ;195        
43  ;converter            ;188        
44  ;ring                 ;184        
45  ;headset              ;178        
46  ;sleeve               ;174        
47  ;switch               ;173        
48  ;keyboard             ;171        
49  ;charger              ;168        
50  ;sunglass             ;167        
51  ;string               ;156        
52  ;drive                ;152        
53  ;holder               ;151        
54  ;guitar               ;150        
55  ;connector            ;149        
56  ;clamp                ;147        
57  ;library              ;147        
58  ;knife                ;141        
59  ;plug                 ;138        
60  ;control              ;138        
61  ;board                ;137        
62  ;supply               ;137        
63  ;film                 ;137        
64  ;rack                 ;133        
65  ;printer              ;133        
66  ;license              ;127        
67  ;switcher             ;127        
68  ;cart                 ;127        
69  ;pack                 ;125        
70  ;extender             ;121        
71  ;housing              ;120        
72  ;lectern              ;115        
73  ;projector            ;114        
74  ;sight                ;112        
75  ;interface            ;111        
76  ;processor            ;108        
77  ;cartridge            ;105        
78  ;mixer                ;104        
79  ;pouch                ;103        
80  ;protector            ;101        
81  ;upgrade              ;93         
82  ;display              ;92         
83  ;clip                 ;92         
