CONCEPT_ROOT_NODE,inanimate_object,unit,statement,evidence,discussion,file,consumer_durable,judgment,storage_device,topic,role,attitude,location,state,time,point,coins,receptacle,pointer,appendage,illness,fabric,figure,connector,fastener,communicator,cabling,device,adapt,compatibility,publication,equipment,machine,credential,layer,disclosure,look,panel,fence,past,narrative,record,information,collection,message,group,product,digital,films,entertainment,motion_pictures,ld,disc,sacd,optical_disc,parachute,hiker,hiking,transport,artifact,utility,transportation,hike,clique,hanger,impurity,fluid,pass,attenuates,particulate,sort,isolate,sift,filtration,sound,dissolved,signal,frequencies,instrumentality,clearness,otherwise,or,ostracise,separate,else,another,something_else,unfamiliar,different,second,apart,stronghold,extent,material,conveyance,organization,code,project,imperfection,microphone,cognitive_psychology,thinking,repairing,programming,pane,household_durables,document,transfer,install,upload,system,release,egress,activity,importance,distance,resuscitator
inanimate_object,artifact,plastic
unit,instrumentality
statement,summary,condition
evidence,argument,record
discussion,argument
file,case,download
consumer_durable,baggage,clothing,furniture
judgment,opinion
storage_device,box
topic,area
role,position
attitude,position
location,region,space
state,region,condition,situation,status
time,space,moment
point,moment
coins,money
receptacle,wall_socket
pointer,handle
appendage,handle
illness,condition
fabric,cord
figure,line
connector,hook
fastener,catch
communicator,broadcaster,announcer
cabling,cable
device,mount,adapter,camera,mechanism,computer_hardware
adapt,adapter
compatibility,adapter
publication,book
equipment,photographic_equipment,electronic_equipment,materiel,backpack,material
machine,computer
credential,degree
layer,surface
disclosure,display
look,view
panel,window
fence,wall
past,history
narrative,history
record,history,file
information,evidence,data
collection,data
message,information
group,collection
product,electronic_component
digital,dvd
films,movies
entertainment,movies
motion_pictures,movies
ld,dvd
disc,dvd
sacd,dvd
optical_disc,dvd
parachute,backpack
hiker,backpacker
hiking,backpacking
transport,carrying
artifact,instrumentality
utility,instrumentality
transportation,carry
hike,backpack
clique,loop
hanger,strap
case,baggage
baggage,bag,knapsack
container,case,bag,box,compartment
bag,case,backpack
box,case
compartment,box
instrumentality,container,device,equipment,system
argument,case
summary,argument
condition,circumstance,situation
backpack
knapsack,backpack
clothing,accessory
fact,case
concept,fact
idea,concept
opinion,idea
space,compartment
area,space
region,area
site,region
position,site
situation,event,standing
moment,time
money,time
wall_socket,point
handle,case
event,case
circumstance,event
cable
cord,cable
line,cord,rope
rope,cord,cable
anchor,cable
hook,anchor
catch,hook
newscaster,anchor
announcer,newscaster
broadcaster,announcer
mount
adapter
camera
book,cover
photographic_equipment,camera
electronic_equipment,amplifier,lens
materiel,baggage
background
desktop,background
computer,desktop,server,download
screen,background
surface,screen
aspect,surface
characteristic,aspect
quality,characteristic,clearness
clearness,translucence
degree,quality
display,screen
translucence,screen,lens
foreground,background
view,foreground
window,foreground
wall,window,fence
history,background,past
data,information
microphone,bug
transducer,microphone
electronic_component,transducer
amplifier,microphone
dvd
movies,dvd
backpacker,backpack
backpacking,backpack
carrying,backpacking
carry,backpack
strap,backpack
band,strap
belt,band
loop,belt
accessory,belt
filter
impurity,filter
filtrate,filter
fluid,filtrate,filter
pass,filter
attenuates,filter
particulate,filter
sort,filter
isolate,filter
sift,filter
filtration,filter
noise,filter
sound,noise
dissolved,filter
mechanism,filter
signal,filter
frequencies,filter
lens
other
otherwise,other
or,other
ostracise,other
separate,other
else,other
another,other
something_else,other
unfamiliar,other
different,other
second,other
apart,other
stand
standing,stand
status,standing
table,stand
furniture,table
hold,stand
stronghold,hold
cover
coverage,cover
extent,coverage
copy,book
material,copy,plastic
software,program,open_source
patch,software
program,patch,application
system,program,network
service,utility
delivery,service
conveyance,delivery
company,service
organization,company
code,software
project,program
application,software
bug,software
defect,bug
imperfection,defect
debugging,software
problem_solving,debugging
cognitive_psychology,problem_solving
thinking,problem_solving
repairing,debugging
open_source,software
programming,software
pane,panel
download
server,download
computer_hardware,computer
player,server
consumer_electronics,player
household_durables,consumer_electronics
document,record
transfer,download
install,download
upload,download
network,download
light
electromagnetic_radiation,light,photons
radiation,electromagnetic_radiation
emission,radiation
release,emission
egress,emission
energy,radiation
liveliness,energy
activity,liveliness
force,energy
intensity,force
magnitude,intensity
importance,magnitude,weight
wavelength,light
distance,wavelength
weight,light
photons,light
plastic,bag
resuscitator,bag
