CONCEPT_ROOT_NODE,artifact,unit,due_process,message,discussion,file,consumer_durable,idea,storage_device,book,time,point,receptacle,instrumentality,accessory,pointer,material,line,telecom,electrical_engineering,connector,fastener,communicator,device,publication,machine,layer,fence,record,information,collection,group,quantity,equipment,digital,entertainment,motion_pictures,optical_disc,parachute,utility,carry,loop,aid,fluid,throw,sort,sift,filtration,vibration,signal,electronic_equipment,separate,second,state,gathering,patch,code,administration,organization,management,medication,establishment,project,insect,chemical,open_source,programming,padding,block,expert,household_durables,barrier,product,transfer,install,network,wavelength,illumination,heavy,release,non_ionizing_radiation,container,inanimate_object,item,implement,display,software,template,extension,condiment,sheet,disc,root,document,side,support,human,talking,speaking,loudspeaker,speech,component,frequency,shape,magazine,baggage,wrapping,paper,vehicle,motor_vehicle,examination,work,decoration,coupler,furnishings,emission,programming_language,part,thing,section,object,plan,evidence,fact,cellulose,writing,pen,fabric,textile,text,peripheral,carbon,scissors,performer,acoustic_guitarist,musician,collector,amateur,attack,port,headphone,pedal,visual_communication,recording,region,tableware,binoculars,magnifier,receive,electronic_component,phone,bedclothes,physical_activity,appendage,modulate,electronic,holder,three,positioning,base,three_legged,convert,ware,eating_utensil,utensil,wheeled_vehicle,transportation,coat,shell,clothes,conduit,manifold,lap,extremity,armrest,case,situation,consumer_electronics,indefinite_quantity,weapon,goods,convex,download,sleeve,filter,badge,history,hearing,backpack,charger,glass,other,binocular,electrical_conduction,speaker,lamp,weight,tripod,sunglass,hold,touch,transmitter,headset,mount,adapter,view,bag,energy,gobo,cover,cap,focus,ball,position,ammunition,battery,dvd,stereo,fixture,switch,system,button,bulb,problem_solving,amplifier,riflescope,jewelry,whip,module,condition,instrument,rack,cable,money,area,facility,structure,sensitivity,source,bicycle,intensity,converter,lens,screen
artifact,instrumentality,article,thing,device,decoration
unit,instrumentality,charger
due_process,idea
message,information,broadcast,advice,condition,evidence,idea
discussion,conference,case
file,case,download
consumer_durable,baggage,clothing,furniture,computer_hardware,gun,jewelry,headset,casing
idea,fact
storage_device,box,envelope,desk,casing
book,cover,notebook,system
time,space
point,time
receptacle,wall_socket
instrumentality,container,system,device,equipment,connection
accessory,fitting,belt
pointer,handle
material,copy,plastic,paper
line,cord,rope
telecom,broadcasting
electrical_engineering,telecommunication
connector,hook
fastener,hook
communicator,announcer,speaker
device,mount,adapter,camera,computer_hardware,instrument,implement,contraceptive,controller,conductor,transmitter,converter,headset,keyboard,machine,charger,filter
publication,book,magazine
machine,computer,printer,lever
layer,wall,surface
fence,wall
record,history
information,evidence
collection,information
group,collection
quantity,product
equipment,photographic_equipment,electronic_equipment,backpack,material
digital,dvd
entertainment,show,dvd
motion_pictures,dvd
optical_disc,dvd
parachute,backpack
utility,instrumentality
carry,backpack
loop,belt
aid,support
fluid,filter
throw,pass,ball
sort,filter
sift,filter
filtration,filter
vibration,sound
signal,filter,transmitter
electronic_equipment,amplifier,lens,monitor,peripheral,terminal
separate,other
second,other
state,region,condition,situation,status
gathering,table,assembly,meeting
patch,software
code,software
administration,organization
organization,institution,establishment,company
management,administration
medication,administration
establishment,institution
project,program,enterprise
insect,software
chemical,product
open_source,software
programming,software
padding,pad
block,pad
expert,calculator
household_durables,consumer_electronics
barrier,bar
product,electronic_component,computer_hardware
transfer,download
install,download
network,download
wavelength,light
illumination,light,lamp
heavy,light
release,emission
non_ionizing_radiation,electromagnetic_radiation
container,case,bag,box,compartment,receptacle,package,wheeled_vehicle,vessel,glass
inanimate_object,artifact,paper
item,piece
implement,utensil,sharpener
display,monitor,screen
software,program
template,gobo
extension,spread
condiment,spread
sheet,leaf,paper
disc,gobo
root,gobo
document,source
side,bracket,top
support,hanger,bracket
human,person
talking,speaker,speaking
speaking,speech,speaker
loudspeaker,speaker,woofer,tweeter
speech,talking,speaker,discussion
component,audio,module
frequency,audio
shape,cube
magazine,pulp,card
baggage,bag,backpack
wrapping,envelope
paper,card,linen,sheet
vehicle,car,wheeled_vehicle
motor_vehicle,car
examination,search
work,operation
decoration,interior_decoration,adornment
coupler,switch
furnishings,furniture
emission,radiation,discharge
programming_language,lamp
part,component,section,unit,item,piece,appendage,hub
thing,part,object
section,part,article
object,part
plan,project
evidence,record,case
fact,case,evidence
cellulose,pulp
writing,paper,printing,musical_notation
pen,paper
fabric,linen,print
textile,cloth
text,copy
peripheral,printer,controller
carbon,graphite
scissors,paper
performer,musician
acoustic_guitarist,musician
musician,conductor
collector,conductor
amateur,collector
attack,assault
port,terminal
headphone
pedal
visual_communication,video,demonstration
recording,video
region,area,layer
tableware,flatware,silverware,glassware,cutlery
binoculars,binocular
magnifier,telescope,microscope
receive,receiver
electronic_component,transducer,transistor,transmitter
phone,receiver
bedclothes,throw
physical_activity,sport
appendage,limb,arm,antenna
modulate,transmitter
electronic,transmitter
holder,tripod
three,tripod
positioning,mount
base,tripod
three_legged,tripod
convert,converter
ware,tableware
eating_utensil,fork
utensil,silverware
wheeled_vehicle,car,bicycle
transportation,bicycle
coat,jacket
shell,jacket
clothes,sleeve,shirt
conduit,tube,pipe
manifold,cylinder
lap,cuff
extremity,limb
armrest,arm
case,baggage,piece,sleeve
situation,event,standing,thing
consumer_electronics,calculator,player
indefinite_quantity,load
weapon,gun
goods,sporting_goods
convex,sunglass
piece,article
sleeve
bag,case,backpack,envelope
box,case
compartment,box,module
package,box
vessel,screen
glass,binocular,sunglass
system,government,program,tract,structure,organism
connection,communication
article,ware,paper,surface
charger
broadcast,transmitter
condition,situation,event
advice,evidence
conference,hearing
download
backpack
envelope,card
clothing,accessory,jacket,garment,sleeve,cap
furniture,table,lamp,desk
computer_hardware,computer
gun,strap,rifle,firearm
jewelry,ring
headset
casing,sleeve
desk,lamp
module,cartridge
space,compartment
area,space
status,standing
government,state
program,application,monitor,module
tract,site
structure,layer
organism,person
cover
notebook,paper
money,time
wall_socket,point
fitting,receptacle
belt,band
handle,case
event,case
copy,book,print
print,paper
plastic,bag
standing,stand
cable
cord,cable,wick
wick,lamp
rope,cord,cable
television,cable
broadcasting,television
telecommunication,broadcasting
anchor,cable
hook,anchor
announcer,anchor
mount,tripod
tripod
adapter
camera,tripod
instrument,weapon
contraceptive,intrauterine_device
controller
conductor,semiconductor,electrode
transmitter,receiver
converter
keyboard
photographic_equipment,camera
background
desktop,background
computer,desktop,calculator,server,download,notebook
calculator,counter
server,download
printer,paper
lever,key
view,background
window,background
wall,window,fence,bracket
bracket
surface,interface,screen,side
history,background
microphone,headset,software
transducer,microphone,receiver,antenna
receiver,transmitter
antenna,transmitter
transistor,amplifier
amplifier,microphone
lens,sunglass
monitor
terminal,cathode
dvd
show,display,demonstration,broadcast
strap,backpack
band,strap
jacket,sleeve
garment,shirt,sleeve,sweater
hanger,strap
filter
pass,filter
gobo
noise,filter
sound,noise
sunglass
screen,monitor
other
stand,tripod
table,stand,counter,desk,lamp
counter,bar
lamp,light_bulb
assembly,meeting,conference
meeting,conference,hearing
hold,stand,tripod
application,software
service,utility,facility
facility,utility
company,service
institution,company
site,facility
enterprise,business
problem_solving,software
panel
pad,panel
bar,panel,lever
player,server,receiver
light,gobo,lamp
weight,light
electromagnetic_radiation,light
radiation,electromagnetic_radiation
discharge,gun
energy,radiation
force,energy
intensity,force
plate
flatware,plate
silverware,flatware,fork
glassware,glass
cutlery,fork
fork,headset
sharpener,strap
spread,radiation
page,spread,paper
leaf,page
source,gobo
fixture,bracket
top,cap,shirt
speaker
person,communicator,player,sport,receiver
woofer,speaker
tweeter,speaker
stereo,speaker
hearing,speaker
audio,speaker
cube,box
card
pulp,wood_pulp,paper
linen,bed_linen
rifle,riflescope
firearm,rifle,charger
intrauterine_device,loop
stripe,band
badge,stripe
whip,strap
light_bulb,lamp
electric,lamp
car,electric
bicycle,headset
bulb,lamp
search,bulb
operation,search
lighting,lamp
interior_decoration,lighting
adornment,jewelry
switch,lamp
riflescope
cartridge,charger
hub,switch
interface,module
wood_pulp,paper
business,magazine
printing,paper
bed_linen,sheet
cloth,linen
pencil,paper
graphite,pencil
semiconductor,transistor
electrode,collector,cathode
cathode,battery
battery
assault,battery
ammunition,cartridge
video,surface
demonstration,display
binocular
telescope,binocular
microscope,binocular
sport,receiver
game,sport,receiver
play,game
touch,play
ball,receiver
limb,arm
arm,sleeve
sensitivity,antenna
communication,message,signal
rack,tripod
position,stand
ring
cap,thimble
thimble,sleeve
shirt,sleeve
sweater,sleeve
pipe,casing,manifold
tube,pipe
cylinder,pipe
cuff,sleeve
key,keyboard
musical_notation,key
button,key
load,charger
electrical_conduction,discharge
sporting_goods,sunglass
focus,sunglass
